,0,1,2,3,4,5,6
0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
1,250.0,250.0,250.0,250.0,250.0,250.0,250.0
2,250.0,51.0,68.0,41.0,74.0,28.0,59.0
3,250.0,51.0,250.0,250.0,250.0,250.0,250.0
4,55.0,58.0,61.0,20.0,54.0,42.0,59.0
5,250.0,250.0,250.0,250.0,250.0,250.0,250.0
6,76.0,50.0,50.0,19.0,47.0,19.0,47.0
7,59.0,62.0,61.0,250.0,250.0,250.0,37.0
8,250.0,250.0,250.0,250.0,250.0,250.0,250.0
9,250.0,250.0,250.0,250.0,250.0,250.0,250.0
10,250.0,250.0,250.0,250.0,250.0,250.0,250.0
11,250.0,250.0,250.0,250.0,250.0,250.0,250.0
12,250.0,250.0,250.0,250.0,250.0,250.0,250.0
13,70.0,250.0,70.0,250.0,250.0,38.0,61.0
14,250.0,250.0,250.0,250.0,250.0,250.0,250.0
15,71.0,50.0,50.0,48.0,48.0,48.0,48.0
16,250.0,250.0,250.0,250.0,250.0,250.0,250.0
17,250.0,250.0,250.0,250.0,250.0,250.0,250.0
18,250.0,250.0,250.0,250.0,250.0,250.0,250.0
19,250.0,250.0,250.0,250.0,250.0,250.0,250.0
20,250.0,250.0,250.0,250.0,250.0,250.0,250.0
21,250.0,250.0,250.0,250.0,250.0,250.0,250.0
22,250.0,250.0,250.0,250.0,250.0,250.0,250.0
23,250.0,250.0,250.0,250.0,250.0,250.0,250.0
24,250.0,250.0,250.0,250.0,250.0,250.0,250.0
25,250.0,250.0,76.0,250.0,250.0,250.0,250.0
26,55.0,250.0,250.0,250.0,250.0,44.0,44.0
27,73.0,63.0,73.0,43.0,56.0,43.0,69.0
28,250.0,250.0,250.0,250.0,250.0,60.0,250.0
29,250.0,250.0,250.0,250.0,250.0,250.0,250.0
30,250.0,250.0,250.0,250.0,250.0,250.0,250.0
31,250.0,76.0,76.0,250.0,250.0,250.0,250.0
32,250.0,250.0,250.0,250.0,250.0,45.0,50.0
33,250.0,66.0,66.0,66.0,66.0,250.0,250.0
34,250.0,250.0,250.0,250.0,250.0,250.0,250.0
35,250.0,250.0,250.0,250.0,250.0,250.0,250.0
36,250.0,250.0,250.0,250.0,250.0,250.0,250.0
37,250.0,250.0,250.0,250.0,250.0,250.0,250.0
38,250.0,52.0,78.0,46.0,74.0,46.0,74.0
39,250.0,250.0,250.0,250.0,250.0,250.0,250.0
40,250.0,250.0,250.0,250.0,250.0,250.0,250.0
41,250.0,250.0,250.0,250.0,250.0,250.0,250.0
42,40.0,40.0,40.0,34.0,34.0,34.0,34.0
43,60.0,60.0,72.0,37.0,60.0,59.0,68.0
44,250.0,250.0,250.0,250.0,250.0,35.0,35.0
45,62.0,49.0,62.0,52.0,49.0,52.0,61.0
46,40.0,53.0,53.0,23.0,40.0,27.0,27.0
47,56.0,45.0,53.0,36.0,53.0,36.0,53.0
48,100.0,38.0,100.0,38.0,38.0,38.0,53.0
49,250.0,250.0,250.0,250.0,250.0,250.0,250.0
50,250.0,250.0,250.0,250.0,250.0,250.0,250.0
51,250.0,250.0,250.0,250.0,250.0,250.0,250.0
52,71.0,250.0,71.0,250.0,71.0,56.0,71.0
53,250.0,250.0,250.0,250.0,250.0,250.0,250.0
54,250.0,250.0,250.0,250.0,250.0,250.0,250.0
55,57.0,81.0,61.0,40.0,56.0,40.0,56.0
56,250.0,250.0,250.0,250.0,250.0,250.0,250.0
57,250.0,250.0,250.0,250.0,250.0,250.0,250.0
58,250.0,250.0,250.0,62.0,250.0,250.0,250.0
59,250.0,250.0,82.0,250.0,250.0,76.0,250.0
60,250.0,250.0,250.0,250.0,250.0,250.0,250.0
61,250.0,250.0,250.0,250.0,250.0,250.0,250.0
62,250.0,250.0,250.0,250.0,250.0,52.0,250.0
63,250.0,250.0,250.0,250.0,250.0,250.0,250.0
64,250.0,250.0,250.0,250.0,250.0,250.0,250.0
65,40.0,61.0,61.0,250.0,250.0,47.0,47.0
66,250.0,250.0,250.0,250.0,250.0,250.0,250.0
67,250.0,250.0,250.0,250.0,250.0,250.0,250.0
68,250.0,250.0,250.0,40.0,250.0,63.0,250.0
69,250.0,250.0,250.0,250.0,250.0,34.0,48.0
70,100.0,250.0,81.0,30.0,81.0,39.0,40.0
71,69.0,250.0,250.0,33.0,250.0,28.0,250.0
72,61.0,41.0,250.0,41.0,41.0,32.0,58.0
73,56.0,250.0,63.0,36.0,250.0,58.0,60.0
74,60.0,58.0,72.0,58.0,58.0,34.0,59.0
75,49.0,51.0,56.0,37.0,46.0,54.0,55.0
76,44.0,44.0,41.0,34.0,34.0,39.0,40.0
77,53.0,61.0,66.0,55.0,55.0,56.0,55.0
78,49.0,51.0,70.0,40.0,45.0,35.0,42.0
79,75.0,250.0,75.0,250.0,75.0,250.0,75.0
80,63.0,62.0,63.0,26.0,54.0,26.0,62.0
81,47.0,47.0,47.0,46.0,46.0,30.0,44.0
82,48.0,51.0,82.0,250.0,48.0,43.0,43.0
83,70.0,69.0,64.0,250.0,69.0,64.0,250.0
84,75.0,250.0,75.0,31.0,73.0,31.0,73.0
85,51.0,53.0,53.0,30.0,53.0,30.0,30.0
86,80.0,49.0,81.0,34.0,50.0,51.0,83.0
87,68.0,47.0,58.0,39.0,47.0,49.0,49.0
88,250.0,250.0,250.0,250.0,250.0,250.0,250.0
89,250.0,250.0,250.0,250.0,250.0,250.0,250.0
90,250.0,250.0,250.0,250.0,250.0,250.0,250.0
91,250.0,250.0,250.0,250.0,250.0,250.0,250.0
92,250.0,250.0,250.0,250.0,250.0,250.0,250.0
93,250.0,250.0,250.0,250.0,250.0,250.0,250.0
94,250.0,250.0,250.0,250.0,250.0,250.0,250.0
95,250.0,82.0,82.0,54.0,54.0,54.0,54.0
96,65.0,67.0,70.0,58.0,58.0,31.0,61.0
97,47.0,51.0,51.0,40.0,43.0,43.0,43.0
98,67.0,64.0,71.0,31.0,69.0,47.0,62.0
99,250.0,250.0,250.0,250.0,250.0,250.0,250.0
100,250.0,250.0,250.0,250.0,250.0,250.0,250.0
101,250.0,250.0,250.0,250.0,250.0,250.0,250.0
102,68.0,75.0,75.0,32.0,250.0,62.0,62.0
103,61.0,61.0,61.0,36.0,48.0,47.0,48.0
104,74.0,250.0,73.0,250.0,73.0,250.0,72.0
105,66.0,46.0,69.0,32.0,66.0,46.0,46.0
106,72.0,38.0,37.0,38.0,37.0,30.0,69.0
107,58.0,62.0,56.0,250.0,63.0,55.0,57.0
108,250.0,250.0,250.0,250.0,250.0,250.0,250.0
109,250.0,250.0,250.0,250.0,250.0,250.0,250.0
110,250.0,250.0,250.0,250.0,250.0,250.0,250.0
111,250.0,250.0,250.0,250.0,250.0,250.0,250.0
112,58.0,60.0,60.0,30.0,54.0,54.0,54.0
113,74.0,42.0,42.0,43.0,43.0,43.0,43.0
114,65.0,66.0,69.0,59.0,100.0,44.0,57.0
115,40.0,67.0,50.0,67.0,67.0,38.0,40.0
116,255.0,255.0,255.0,250.0,250.0,255.0,255.0
117,250.0,250.0,250.0,250.0,250.0,250.0,250.0
