,0,1,2,3,4,5
0,73.0,72.0,70.0,58.0,70.0,63.0
1,63.0,73.0,74.0,68.0,68.0,68.0
2,58.0,58.0,45.0,39.0,36.0,48.0
3,73.0,70.0,69.0,58.0,77.0,235.0
4,76.0,76.0,76.0,84.0,76.0,37.0
5,70.0,84.0,83.0,100.0,83.0,82.0
6,70.0,70.0,62.0,62.0,62.0,100.0
7,72.0,72.0,72.0,45.0,70.0,60.0
8,68.0,100.0,67.0,62.0,100.0,100.0
9,72.0,250.0,72.0,47.0,47.0,250.0
10,67.0,70.0,70.0,67.0,70.0,64.0
11,250.0,250.0,34.0,34.0,44.0,44.0
12,69.0,73.0,74.0,66.0,74.0,72.0
13,79.0,79.0,79.0,72.0,72.0,74.0
14,72.0,78.0,79.0,43.0,75.0,75.0
15,62.0,62.0,57.0,47.0,47.0,55.0
16,50.0,50.0,42.0,43.0,67.0,42.0
17,74.0,65.0,69.0,65.0,54.0,59.0
18,36.0,33.0,36.0,34.0,36.0,31.0
19,72.0,69.0,72.0,66.0,71.0,71.0
20,35.0,35.0,42.0,42.0,42.0,100.0
21,61.0,100.0,61.0,47.0,54.0,64.0
22,100.0,58.0,61.0,100.0,61.0,69.0
23,250.0,250.0,250.0,250.0,250.0,250.0
24,100.0,100.0,100.0,82.0,82.0,250.0
25,250.0,250.0,250.0,250.0,250.0,250.0
26,250.0,250.0,250.0,250.0,250.0,250.0
27,250.0,250.0,50.0,55.0,250.0,250.0
28,82.0,71.0,71.0,65.0,71.0,64.0
29,56.0,100.0,56.0,40.0,40.0,31.0
30,78.0,78.0,53.0,45.0,67.0,62.0
31,57.0,57.0,57.0,51.0,81.0,35.0
32,250.0,250.0,250.0,250.0,250.0,250.0
33,58.0,59.0,58.0,58.0,58.0,57.0
34,40.0,40.0,43.0,43.0,43.0,43.0
35,69.0,74.0,69.0,66.0,70.0,64.0
36,53.0,53.0,53.0,41.0,41.0,41.0
37,66.0,54.0,64.0,100.0,63.0,250.0
38,100.0,100.0,250.0,75.0,250.0,250.0
39,68.0,55.0,61.0,61.0,65.0,250.0
40,74.0,71.0,68.0,59.0,70.0,60.0
41,67.0,67.0,70.0,57.0,66.0,66.0
42,62.0,62.0,58.0,57.0,72.0,46.0
43,100.0,78.0,100.0,25.0,25.0,250.0
44,74.0,72.0,56.0,43.0,45.0,54.0
45,53.0,100.0,46.0,27.0,46.0,100.0
46,71.0,71.0,72.0,100.0,100.0,100.0
47,100.0,61.0,63.0,38.0,35.0,35.0
48,69.0,69.0,43.0,43.0,43.0,74.0
49,250.0,250.0,250.0,250.0,250.0,250.0
50,50.0,73.0,54.0,31.0,64.0,250.0
51,75.0,58.0,70.0,64.0,70.0,69.0
52,61.0,76.0,61.0,30.0,34.0,34.0
53,70.0,250.0,70.0,63.0,100.0,250.0
54,53.0,47.0,53.0,62.0,62.0,62.0
55,70.0,69.0,73.0,33.0,61.0,61.0
56,46.0,42.0,55.0,41.0,66.0,66.0
57,66.0,63.0,100.0,67.0,58.0,58.0
58,84.0,74.0,84.0,56.0,100.0,58.0
59,56.0,76.0,100.0,59.0,100.0,46.0
60,73.0,73.0,79.0,70.0,70.0,70.0
61,250.0,250.0,250.0,250.0,250.0,250.0
62,74.0,72.0,70.0,57.0,69.0,69.0
63,77.0,77.0,42.0,74.0,74.0,72.0
64,250.0,250.0,250.0,250.0,250.0,250.0
65,250.0,250.0,250.0,250.0,250.0,250.0
66,250.0,250.0,250.0,250.0,250.0,69.0
67,70.0,72.0,70.0,61.0,70.0,65.0
68,100.0,100.0,100.0,100.0,100.0,28.0
69,56.0,43.0,56.0,46.0,46.0,54.0
70,48.0,42.0,48.0,41.0,41.0,100.0
71,62.0,62.0,74.0,56.0,73.0,48.0
72,46.0,46.0,50.0,53.0,53.0,43.0
73,100.0,100.0,52.0,250.0,250.0,100.0
74,71.0,71.0,100.0,54.0,100.0,32.0
75,46.0,100.0,55.0,100.0,100.0,27.0
76,57.0,57.0,74.0,68.0,68.0,43.0
77,100.0,100.0,100.0,100.0,100.0,56.0
78,250.0,250.0,250.0,250.0,250.0,250.0
79,55.0,74.0,55.0,45.0,74.0,71.0
80,61.0,61.0,59.0,59.0,71.0,42.0
81,74.0,42.0,100.0,63.0,100.0,100.0
82,100.0,100.0,100.0,22.0,59.0,22.0
83,65.0,78.0,75.0,100.0,73.0,100.0
84,250.0,250.0,250.0,250.0,250.0,250.0
85,54.0,60.0,64.0,55.0,55.0,55.0
86,54.0,55.0,54.0,55.0,55.0,53.0
87,60.0,54.0,60.0,60.0,100.0,100.0
88,250.0,250.0,250.0,250.0,250.0,250.0
89,69.0,69.0,79.0,42.0,79.0,53.0
90,250.0,250.0,250.0,250.0,250.0,250.0
91,100.0,78.0,68.0,68.0,82.0,0.0
92,58.0,51.0,70.0,48.0,44.0,57.0
93,250.0,250.0,250.0,250.0,250.0,250.0
94,53.0,57.0,60.0,57.0,57.0,34.0
95,250.0,250.0,250.0,250.0,250.0,250.0
96,47.0,43.0,47.0,100.0,30.0,30.0
97,70.0,100.0,73.0,60.0,73.0,52.0
98,77.0,36.0,77.0,32.0,77.0,22.0
99,47.0,69.0,68.0,51.0,39.0,33.0
100,100.0,100.0,100.0,49.0,59.0,49.0
101,63.0,38.0,51.0,33.0,56.0,0.0
102,54.0,46.0,54.0,100.0,100.0,31.0
103,34.0,32.0,54.0,54.0,44.0,0.0
104,54.0,55.0,66.0,60.0,32.0,0.0
105,250.0,250.0,250.0,250.0,250.0,250.0
106,60.0,62.0,69.0,53.0,57.0,57.0
107,32.0,32.0,32.0,37.0,37.0,40.0
108,40.0,39.0,53.0,65.0,53.0,31.0
109,39.0,57.0,65.0,100.0,100.0,100.0
110,23.0,23.0,44.0,26.0,44.0,0.0
111,61.0,41.0,67.0,26.0,30.0,30.0
112,29.0,32.0,29.0,30.0,30.0,0.0
113,56.0,24.0,50.0,51.0,42.0,0.0
114,0.0,0.0,0.0,27.0,27.0,0.0
115,19.0,22.0,24.0,33.0,45.0,0.0
116,47.0,39.0,0.0,21.0,0.0,0.0
117,0.0,0.0,22.0,21.0,21.0,0.0
118,45.0,28.0,46.0,16.0,0.0,0.0
119,16.0,16.0,21.0,0.0,21.0,0.0
120,0.0,0.0,28.0,0.0,0.0,0.0
121,0.0,0.0,0.0,0.0,0.0,0.0
122,38.0,0.0,19.0,33.0,0.0,0.0
123,53.0,0.0,0.0,38.0,0.0,0.0
124,37.0,37.0,34.0,36.0,36.0,36.0
125,250.0,250.0,250.0,235.0,250.0,250.0
126,250.0,250.0,250.0,250.0,250.0,235.0
127,250.0,250.0,250.0,250.0,250.0,250.0
128,0.0,0.0,0.0,0.0,0.0,0.0
129,23.0,0.0,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0
131,19.0,0.0,0.0,0.0,0.0,0.0
132,0.0,22.0,0.0,0.0,0.0,0.0
133,0.0,0.0,0.0,0.0,0.0,0.0
134,0.0,0.0,0.0,0.0,0.0,0.0
135,250.0,250.0,250.0,250.0,250.0,250.0
136,18.0,0.0,0.0,0.0,0.0,0.0
137,0.0,0.0,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0,0.0,0.0
139,0.0,0.0,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,0.0,0.0
141,0.0,0.0,0.0,0.0,0.0,0.0
142,0.0,0.0,0.0,0.0,0.0,0.0
143,0.0,0.0,0.0,0.0,0.0,0.0
144,0.0,0.0,0.0,0.0,0.0,0.0
145,0.0,15.0,0.0,0.0,0.0,0.0
146,38.0,38.0,31.0,36.0,31.0,22.0
147,0.0,0.0,0.0,0.0,0.0,0.0
148,0.0,0.0,0.0,0.0,0.0,0.0
149,0.0,0.0,0.0,0.0,0.0,0.0
150,0.0,0.0,0.0,0.0,0.0,0.0
151,0.0,0.0,0.0,0.0,0.0,0.0
152,0.0,0.0,0.0,0.0,0.0,0.0
153,0.0,0.0,0.0,0.0,0.0,0.0
154,250.0,250.0,250.0,250.0,250.0,0.0
155,0.0,0.0,0.0,0.0,0.0,0.0
156,0.0,0.0,0.0,0.0,0.0,0.0
157,0.0,0.0,0.0,0.0,0.0,0.0
158,0.0,0.0,0.0,0.0,0.0,0.0
159,26.0,16.0,0.0,0.0,0.0,0.0
160,250.0,235.0,250.0,250.0,235.0,250.0
161,0.0,0.0,0.0,0.0,24.0,24.0
162,0.0,0.0,0.0,0.0,0.0,0.0
163,0.0,0.0,0.0,0.0,0.0,0.0
164,0.0,0.0,0.0,0.0,0.0,0.0
165,0.0,0.0,0.0,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0,0.0,0.0
167,0.0,0.0,0.0,0.0,0.0,0.0
168,0.0,0.0,0.0,0.0,0.0,0.0
169,0.0,0.0,0.0,0.0,0.0,0.0
170,0.0,0.0,0.0,0.0,0.0,0.0
171,0.0,0.0,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0,0.0,0.0
173,46.0,48.0,48.0,250.0,250.0,250.0
174,59.0,59.0,58.0,250.0,250.0,250.0
175,250.0,250.0,250.0,250.0,34.0,34.0
176,0.0,0.0,0.0,0.0,0.0,0.0
177,0.0,0.0,0.0,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0,0.0,0.0
179,0.0,0.0,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0,0.0,0.0
181,0.0,0.0,0.0,0.0,0.0,0.0
182,250.0,250.0,235.0,250.0,250.0,250.0
183,0.0,0.0,0.0,0.0,0.0,0.0
184,30.0,250.0,250.0,250.0,250.0,250.0
185,26.0,26.0,250.0,27.0,27.0,0.0
186,0.0,0.0,0.0,0.0,0.0,0.0
187,0.0,0.0,0.0,0.0,0.0,0.0
188,0.0,0.0,0.0,0.0,0.0,0.0
189,0.0,0.0,0.0,0.0,0.0,0.0
190,0.0,0.0,0.0,0.0,0.0,0.0
191,250.0,250.0,250.0,250.0,250.0,250.0
192,0.0,0.0,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0,0.0,0.0
196,0.0,0.0,0.0,0.0,0.0,0.0
197,0.0,0.0,0.0,0.0,0.0,0.0
198,0.0,0.0,0.0,0.0,0.0,0.0
199,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0
201,0.0,0.0,0.0,0.0,0.0,0.0
202,35.0,35.0,39.0,42.0,40.0,40.0
203,235.0,235.0,250.0,235.0,235.0,250.0
204,0.0,0.0,0.0,0.0,0.0,0.0
205,56.0,53.0,250.0,250.0,250.0,250.0
206,235.0,235.0,235.0,235.0,235.0,235.0
207,0.0,0.0,0.0,0.0,0.0,0.0
208,27.0,250.0,250.0,41.0,250.0,250.0
209,0.0,0.0,0.0,0.0,0.0,0.0
210,0.0,0.0,0.0,0.0,0.0,0.0
211,0.0,0.0,0.0,0.0,0.0,0.0
212,0.0,0.0,0.0,0.0,0.0,0.0
213,0.0,0.0,0.0,0.0,0.0,0.0
214,0.0,0.0,0.0,0.0,0.0,0.0
215,0.0,0.0,0.0,0.0,0.0,0.0
216,0.0,0.0,0.0,0.0,0.0,0.0
217,0.0,0.0,0.0,0.0,0.0,0.0
218,0.0,0.0,0.0,0.0,0.0,0.0
219,0.0,0.0,0.0,0.0,0.0,0.0
220,0.0,0.0,0.0,0.0,0.0,0.0
221,0.0,0.0,0.0,0.0,0.0,0.0
222,0.0,0.0,0.0,0.0,0.0,0.0
223,0.0,0.0,0.0,0.0,0.0,0.0
224,0.0,0.0,0.0,0.0,0.0,0.0
225,0.0,0.0,0.0,0.0,0.0,0.0
226,0.0,0.0,0.0,0.0,0.0,0.0
227,0.0,0.0,0.0,0.0,0.0,0.0
228,27.0,27.0,27.0,26.0,250.0,24.0
229,0.0,0.0,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,0.0,0.0,0.0
231,0.0,0.0,0.0,0.0,0.0,0.0
232,0.0,0.0,0.0,0.0,0.0,0.0
233,0.0,0.0,0.0,0.0,0.0,0.0
234,0.0,0.0,0.0,0.0,0.0,0.0
235,0.0,0.0,0.0,0.0,0.0,0.0
236,0.0,0.0,0.0,0.0,0.0,0.0
237,0.0,0.0,0.0,0.0,0.0,0.0
238,0.0,0.0,250.0,250.0,250.0,250.0
239,0.0,0.0,0.0,0.0,0.0,0.0
240,0.0,0.0,0.0,0.0,0.0,0.0
241,0.0,0.0,0.0,0.0,0.0,0.0
242,25.0,25.0,0.0,24.0,24.0,0.0
243,250.0,0.0,0.0,0.0,0.0,0.0
244,42.0,42.0,45.0,0.0,45.0,48.0
245,250.0,0.0,250.0,18.0,250.0,250.0
246,28.0,28.0,25.0,0.0,25.0,0.0
247,0.0,0.0,0.0,0.0,0.0,0.0
248,0.0,0.0,0.0,0.0,0.0,0.0
249,0.0,0.0,0.0,0.0,0.0,0.0
250,0.0,0.0,0.0,0.0,0.0,0.0
251,0.0,0.0,0.0,0.0,0.0,45.0
252,0.0,0.0,0.0,0.0,0.0,0.0
253,50.0,40.0,48.0,46.0,46.0,46.0
254,0.0,0.0,0.0,0.0,0.0,0.0
255,0.0,0.0,0.0,29.0,29.0,250.0
256,0.0,0.0,0.0,0.0,0.0,0.0
257,0.0,0.0,0.0,0.0,0.0,0.0
258,0.0,0.0,0.0,0.0,0.0,0.0
259,0.0,0.0,0.0,0.0,0.0,0.0
260,0.0,0.0,0.0,0.0,0.0,0.0
261,0.0,0.0,0.0,0.0,0.0,0.0
262,0.0,0.0,0.0,0.0,0.0,0.0
263,250.0,250.0,0.0,16.0,0.0,19.0
264,47.0,35.0,47.0,40.0,34.0,26.0
265,0.0,0.0,0.0,0.0,0.0,0.0
266,250.0,18.0,18.0,18.0,17.0,250.0
267,0.0,0.0,0.0,0.0,0.0,0.0
268,0.0,0.0,0.0,0.0,0.0,0.0
269,0.0,0.0,0.0,0.0,0.0,0.0
270,0.0,0.0,0.0,0.0,0.0,0.0
271,0.0,0.0,0.0,0.0,0.0,0.0
272,21.0,20.0,20.0,22.0,22.0,23.0
273,0.0,0.0,0.0,0.0,0.0,0.0
274,0.0,0.0,0.0,0.0,0.0,0.0
275,0.0,0.0,0.0,0.0,0.0,0.0
276,0.0,0.0,0.0,0.0,0.0,0.0
277,0.0,0.0,0.0,0.0,0.0,0.0
278,0.0,0.0,0.0,0.0,0.0,0.0
279,25.0,28.0,34.0,42.0,42.0,42.0
280,0.0,0.0,0.0,0.0,0.0,0.0
281,86.0,86.0,100.0,100.0,84.0,85.0
282,73.0,43.0,58.0,26.0,58.0,46.0
283,0.0,0.0,0.0,0.0,0.0,0.0
284,43.0,28.0,32.0,43.0,31.0,250.0
285,43.0,48.0,43.0,56.0,45.0,42.0
286,0.0,0.0,0.0,0.0,0.0,0.0
287,0.0,0.0,0.0,0.0,0.0,0.0
288,0.0,0.0,0.0,0.0,0.0,0.0
289,0.0,0.0,0.0,0.0,0.0,0.0
290,0.0,0.0,0.0,0.0,0.0,0.0
291,0.0,0.0,0.0,0.0,0.0,0.0
292,0.0,0.0,0.0,0.0,0.0,0.0
293,0.0,0.0,0.0,0.0,0.0,0.0
294,0.0,0.0,0.0,0.0,0.0,0.0
295,0.0,0.0,0.0,0.0,0.0,0.0
296,0.0,0.0,0.0,0.0,0.0,0.0
297,0.0,0.0,0.0,0.0,0.0,0.0
298,0.0,0.0,0.0,0.0,0.0,0.0
299,0.0,0.0,0.0,0.0,0.0,0.0
300,80.0,91.0,100.0,250.0,250.0,250.0
301,250.0,250.0,250.0,250.0,250.0,250.0
302,40.0,40.0,61.0,49.0,49.0,49.0
303,100.0,39.0,100.0,54.0,37.0,0.0
304,0.0,0.0,0.0,0.0,0.0,0.0
305,0.0,0.0,0.0,32.0,28.0,0.0
306,0.0,0.0,0.0,0.0,0.0,0.0
307,0.0,0.0,0.0,0.0,0.0,0.0
308,0.0,0.0,0.0,0.0,0.0,0.0
309,0.0,0.0,0.0,0.0,0.0,0.0
310,0.0,0.0,0.0,0.0,0.0,0.0
311,0.0,0.0,0.0,0.0,0.0,0.0
312,0.0,0.0,0.0,0.0,0.0,0.0
313,0.0,0.0,0.0,0.0,0.0,0.0
314,0.0,0.0,0.0,0.0,0.0,0.0
315,0.0,0.0,0.0,250.0,0.0,0.0
316,0.0,0.0,0.0,0.0,0.0,0.0
317,250.0,250.0,250.0,250.0,250.0,250.0
318,0.0,0.0,0.0,0.0,0.0,0.0
319,0.0,0.0,0.0,0.0,0.0,0.0
320,0.0,0.0,0.0,0.0,0.0,0.0
321,44.0,38.0,36.0,39.0,36.0,38.0
322,0.0,0.0,0.0,0.0,24.0,0.0
323,250.0,250.0,250.0,250.0,250.0,250.0
324,89.0,70.0,100.0,69.0,100.0,58.0
325,250.0,250.0,61.0,50.0,50.0,0.0
326,250.0,250.0,53.0,45.0,42.0,250.0
327,27.0,27.0,42.0,27.0,31.0,31.0
328,30.0,0.0,54.0,23.0,0.0,0.0
329,42.0,42.0,50.0,50.0,50.0,44.0
330,0.0,0.0,31.0,0.0,31.0,0.0
331,0.0,0.0,0.0,0.0,0.0,29.0
332,0.0,0.0,0.0,0.0,0.0,0.0
333,0.0,33.0,0.0,19.0,0.0,0.0
334,0.0,0.0,0.0,0.0,0.0,0.0
335,0.0,0.0,0.0,0.0,0.0,0.0
336,250.0,250.0,250.0,250.0,250.0,250.0
337,73.0,69.0,68.0,64.0,64.0,64.0
338,43.0,73.0,73.0,24.0,69.0,69.0
339,56.0,69.0,68.0,61.0,66.0,32.0
340,250.0,250.0,250.0,250.0,250.0,250.0
341,72.0,72.0,70.0,65.0,65.0,65.0
342,51.0,45.0,43.0,43.0,43.0,32.0
343,45.0,62.0,45.0,63.0,68.0,63.0
344,52.0,69.0,56.0,42.0,56.0,56.0
345,62.0,62.0,62.0,58.0,250.0,250.0
346,49.0,64.0,49.0,62.0,48.0,51.0
347,30.0,27.0,48.0,0.0,30.0,0.0
348,100.0,62.0,44.0,40.0,44.0,35.0
349,32.0,32.0,28.0,0.0,28.0,0.0
350,56.0,61.0,77.0,53.0,58.0,58.0
351,86.0,86.0,86.0,79.0,79.0,44.0
352,55.0,55.0,65.0,37.0,37.0,32.0
353,64.0,68.0,72.0,28.0,72.0,38.0
354,0.0,29.0,39.0,0.0,0.0,0.0
355,42.0,66.0,38.0,59.0,31.0,0.0
356,65.0,65.0,65.0,27.0,27.0,27.0
357,38.0,33.0,61.0,100.0,100.0,32.0
358,25.0,0.0,34.0,23.0,23.0,0.0
359,36.0,39.0,36.0,38.0,38.0,0.0
360,100.0,77.0,100.0,100.0,100.0,42.0
361,27.0,27.0,34.0,0.0,0.0,0.0
362,43.0,46.0,43.0,0.0,55.0,0.0
363,0.0,0.0,0.0,0.0,0.0,0.0
364,250.0,250.0,250.0,250.0,250.0,250.0
