,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
1,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,54.0,54.0,54.0,250.0,250.0,250.0,78.0,78.0,78.0,54.0,250.0,250.0,250.0,250.0,250.0,78.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
2,71.0,100.0,64.0,100.0,68.0,64.0,63.0,60.0,57.0,60.0,68.0,63.0,66.0,52.0,100.0,76.0,56.0,56.0,60.0,100.0,72.0,0.0,65.0,56.0,100.0,78.0,71.0,59.0,68.0,68.0,72.0
3,250.0,250.0,250.0,250.0,250.0,250.0,250.0,34.0,34.0,53.0,250.0,250.0,250.0,59.0,250.0,34.0,51.0,51.0,53.0,250.0,250.0,250.0,250.0,52.0,250.0,46.0,45.0,250.0,46.0,46.0,49.0
4,61.0,85.0,78.0,100.0,65.0,60.0,50.0,36.0,60.0,69.0,64.0,52.0,52.0,64.0,100.0,62.0,62.0,0.0,66.0,67.0,93.0,69.0,0.0,54.0,60.0,68.0,68.0,67.0,60.0,67.0,68.0
5,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,71.0,71.0,250.0,250.0,250.0,250.0,71.0,250.0,250.0,250.0,250.0
6,58.0,58.0,58.0,250.0,76.0,75.0,47.0,46.0,49.0,70.0,66.0,50.0,52.0,65.0,78.0,80.0,68.0,71.0,59.0,46.0,52.0,64.0,64.0,64.0,51.0,59.0,59.0,52.0,52.0,66.0,52.0
7,59.0,57.0,62.0,250.0,250.0,70.0,62.0,59.0,57.0,250.0,70.0,71.0,71.0,250.0,70.0,69.0,57.0,62.0,62.0,59.0,76.0,70.0,69.0,250.0,67.0,67.0,76.0,250.0,72.0,73.0,71.0
8,75.0,250.0,71.0,250.0,250.0,250.0,250.0,250.0,74.0,74.0,67.0,67.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
9,250.0,250.0,250.0,250.0,250.0,250.0,67.0,250.0,72.0,250.0,73.0,67.0,250.0,59.0,250.0,250.0,250.0,250.0,73.0,250.0,250.0,250.0,250.0,250.0,63.0,78.0,250.0,250.0,66.0,250.0,250.0
10,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
11,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
12,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
13,82.0,250.0,250.0,250.0,78.0,66.0,74.0,250.0,0.0,78.0,66.0,250.0,64.0,64.0,76.0,76.0,0.0,69.0,69.0,250.0,74.0,71.0,76.0,250.0,49.0,0.0,74.0,54.0,49.0,0.0,54.0
14,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
15,60.0,250.0,53.0,71.0,250.0,53.0,53.0,71.0,71.0,55.0,55.0,65.0,65.0,70.0,250.0,72.0,72.0,52.0,52.0,76.0,76.0,74.0,74.0,59.0,250.0,250.0,72.0,250.0,47.0,51.0,53.0
16,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
17,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
18,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
19,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
20,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
21,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
22,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
23,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
24,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
25,250.0,77.0,250.0,250.0,78.0,250.0,78.0,250.0,70.0,250.0,250.0,78.0,250.0,250.0,250.0,250.0,71.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,77.0,250.0,250.0,250.0,78.0,250.0
26,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,73.0,73.0,250.0,250.0,250.0,73.0,73.0,250.0,250.0,69.0,69.0,250.0
27,100.0,60.0,250.0,250.0,250.0,56.0,72.0,62.0,64.0,79.0,68.0,70.0,70.0,74.0,250.0,65.0,0.0,63.0,78.0,100.0,250.0,83.0,0.0,63.0,40.0,100.0,79.0,68.0,54.0,70.0,70.0
28,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,74.0,74.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
29,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
30,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
31,250.0,250.0,250.0,79.0,70.0,250.0,250.0,250.0,78.0,70.0,59.0,54.0,250.0,250.0,81.0,74.0,74.0,72.0,72.0,250.0,73.0,73.0,250.0,74.0,250.0,59.0,73.0,250.0,250.0,59.0,250.0
32,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
33,73.0,72.0,72.0,72.0,72.0,59.0,59.0,250.0,72.0,72.0,72.0,250.0,250.0,250.0,250.0,250.0,250.0,72.0,72.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
34,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
