,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290
0,100.0,100.0,100.0,235.0,69.0,69.0,92.0,30.0,31.0,31.0,60.0,68.0,68.0,92.0,21.0,21.0,30.0,30.0,60.0,60.0,68.0,83.0,83.0,54.0,19.0,19.0,21.0,24.0,24.0,30.0,36.0,65.0,65.0,63.0,83.0,83.0,89.0,65.0,29.0,29.0,38.0,38.0,36.0,36.0,36.0,56.0,56.0,63.0,63.0,63.0,78.0,78.0,89.0,93.0,84.0,72.0,35.0,35.0,35.0,51.0,51.0,48.0,36.0,36.0,56.0,56.0,79.0,79.0,79.0,84.0,84.0,84.0,80.0,80.0,72.0,72.0,35.0,35.0,51.0,51.0,48.0,48.0,44.0,44.0,44.0,80.0,80.0,80.0,86.0,86.0,86.0,80.0,80.0,90.0,86.0,86.0,72.0,72.0,78.0,78.0,55.0,55.0,55.0,40.0,40.0,54.0,80.0,80.0,86.0,86.0,86.0,86.0,86.0,100.0,100.0,100.0,100.0,100.0,90.0,90.0,73.0,78.0,55.0,55.0,55.0,40.0,40.0,54.0,54.0,54.0,65.0,65.0,65.0,92.0,92.0,100.0,86.0,100.0,100.0,90.0,90.0,73.0,73.0,55.0,55.0,57.0,57.0,57.0,58.0,58.0,64.0,64.0,65.0,92.0,92.0,92.0,100.0,86.0,86.0,100.0,100.0,91.0,91.0,91.0,73.0,73.0,56.0,57.0,57.0,58.0,58.0,64.0,64.0,64.0,100.0,95.0,95.0,86.0,86.0,80.0,91.0,91.0,73.0,73.0,56.0,56.0,74.0,74.0,74.0,100.0,100.0,82.0,95.0,95.0,86.0,86.0,80.0,80.0,81.0,81.0,47.0,47.0,47.0,92.0,92.0,100.0,100.0,100.0,82.0,100.0,100.0,100.0,83.0,83.0,83.0,78.0,78.0,58.0,47.0,47.0,92.0,92.0,100.0,100.0,100.0,81.0,100.0,83.0,83.0,78.0,78.0,78.0,58.0,58.0,100.0,100.0,100.0,81.0,81.0,85.0,85.0,90.0,90.0,78.0,78.0,78.0,84.0,90.0,100.0,100.0,100.0,100.0,100.0,78.0,78.0,84.0,84.0,90.0,100.0,100.0,100.0,100.0,87.0,87.0,100.0,100.0,94.0,90.0,100.0,95.0,95.0,100.0,93.0,100.0,100.0,100.0,100.0,100.0,93.0,100.0,100.0,100.0,91.0,100.0,100.0,235.0,83.0,82.0,82.0,83.0,83.0
1,100.0,72.0,100.0,51.0,71.0,81.0,80.0,32.0,27.0,51.0,71.0,82.0,89.0,82.0,20.0,33.0,32.0,22.0,21.0,41.0,68.0,83.0,80.0,72.0,28.0,18.0,28.0,62.0,32.0,22.0,23.0,56.0,76.0,80.0,80.0,85.0,79.0,65.0,25.0,25.0,24.0,100.0,42.0,62.0,44.0,28.0,54.0,81.0,80.0,100.0,78.0,100.0,100.0,100.0,87.0,69.0,66.0,33.0,34.0,43.0,100.0,42.0,66.0,40.0,30.0,37.0,81.0,89.0,84.0,79.0,83.0,100.0,100.0,80.0,77.0,44.0,77.0,77.0,43.0,52.0,49.0,49.0,44.0,41.0,37.0,80.0,85.0,87.0,90.0,83.0,78.0,86.0,83.0,94.0,87.0,83.0,87.0,85.0,100.0,72.0,55.0,47.0,44.0,41.0,41.0,45.0,68.0,79.0,76.0,90.0,90.0,82.0,88.0,90.0,94.0,100.0,88.0,100.0,91.0,85.0,100.0,78.0,44.0,57.0,44.0,41.0,31.0,43.0,58.0,63.0,76.0,82.0,83.0,90.0,73.0,90.0,82.0,82.0,100.0,91.0,100.0,88.0,88.0,62.0,48.0,47.0,47.0,42.0,51.0,60.0,63.0,100.0,100.0,89.0,100.0,73.0,80.0,93.0,88.0,100.0,100.0,58.0,100.0,80.0,62.0,48.0,32.0,33.0,41.0,100.0,60.0,61.0,84.0,100.0,100.0,100.0,100.0,87.0,100.0,83.0,80.0,80.0,74.0,52.0,52.0,60.0,50.0,100.0,100.0,100.0,81.0,81.0,100.0,100.0,100.0,100.0,83.0,85.0,85.0,82.0,43.0,54.0,66.0,50.0,87.0,100.0,100.0,85.0,100.0,100.0,100.0,100.0,81.0,83.0,78.0,80.0,49.0,43.0,63.0,71.0,90.0,100.0,100.0,82.0,100.0,100.0,100.0,81.0,81.0,81.0,74.0,58.0,43.0,43.0,100.0,100.0,83.0,100.0,100.0,100.0,100.0,92.0,81.0,58.0,100.0,100.0,100.0,84.0,91.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.0,84.0,81.0,74.0,100.0,100.0,100.0,100.0,86.0,100.0,100.0,74.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,73.0,100.0,100.0,74.0,100.0,79.0,64.0,73.0,82.0,59.0,100.0,64.0,79.0,100.0
2,88.0,76.0,76.0,54.0,75.0,75.0,75.0,32.0,54.0,54.0,54.0,75.0,91.0,91.0,36.0,32.0,32.0,35.0,35.0,57.0,57.0,57.0,100.0,39.0,39.0,36.0,24.0,24.0,35.0,35.0,35.0,57.0,89.0,89.0,89.0,100.0,91.0,39.0,55.0,40.0,36.0,24.0,24.0,235.0,235.0,53.0,53.0,53.0,81.0,81.0,81.0,81.0,83.0,83.0,83.0,60.0,54.0,40.0,40.0,47.0,47.0,235.0,235.0,235.0,235.0,53.0,53.0,81.0,81.0,81.0,235.0,235.0,83.0,83.0,69.0,54.0,40.0,50.0,47.0,47.0,65.0,65.0,54.0,54.0,80.0,80.0,82.0,82.0,82.0,84.0,84.0,84.0,84.0,235.0,92.0,95.0,82.0,82.0,40.0,63.0,63.0,65.0,65.0,49.0,80.0,80.0,80.0,80.0,88.0,88.0,88.0,84.0,84.0,92.0,92.0,92.0,91.0,79.0,79.0,74.0,63.0,63.0,63.0,61.0,49.0,49.0,49.0,52.0,52.0,65.0,65.0,86.0,100.0,100.0,100.0,100.0,87.0,95.0,90.0,98.0,79.0,82.0,86.0,86.0,62.0,62.0,62.0,52.0,52.0,52.0,86.0,86.0,86.0,86.0,100.0,100.0,100.0,90.0,90.0,90.0,100.0,100.0,86.0,86.0,54.0,54.0,62.0,62.0,54.0,54.0,53.0,53.0,100.0,100.0,72.0,235.0,98.0,98.0,90.0,98.0,73.0,78.0,78.0,78.0,78.0,78.0,54.0,54.0,54.0,100.0,100.0,100.0,100.0,235.0,98.0,82.0,82.0,78.0,78.0,75.0,78.0,78.0,78.0,65.0,76.0,76.0,84.0,84.0,85.0,100.0,235.0,87.0,84.0,82.0,78.0,79.0,76.0,76.0,76.0,83.0,65.0,83.0,83.0,84.0,100.0,87.0,98.0,84.0,84.0,79.0,74.0,74.0,76.0,76.0,87.0,87.0,83.0,100.0,89.0,80.0,89.0,100.0,100.0,100.0,86.0,86.0,87.0,81.0,80.0,235.0,100.0,100.0,100.0,86.0,86.0,86.0,100.0,100.0,100.0,100.0,91.0,91.0,91.0,94.0,94.0,100.0,100.0,100.0,91.0,91.0,91.0,94.0,92.0,92.0,100.0,100.0,100.0,100.0,100.0,83.0,92.0,100.0,100.0,100.0,89.0,95.0,79.0,79.0,79.0,100.0,79.0
3,88.0,72.0,79.0,61.0,77.0,79.0,80.0,32.0,26.0,31.0,235.0,81.0,100.0,90.0,22.0,43.0,32.0,20.0,25.0,235.0,68.0,235.0,77.0,28.0,28.0,29.0,18.0,35.0,63.0,55.0,25.0,59.0,80.0,84.0,100.0,77.0,82.0,66.0,28.0,27.0,100.0,51.0,53.0,63.0,55.0,25.0,54.0,75.0,82.0,86.0,77.0,81.0,85.0,84.0,82.0,70.0,66.0,31.0,34.0,58.0,66.0,52.0,63.0,21.0,43.0,47.0,100.0,84.0,86.0,83.0,100.0,88.0,82.0,83.0,77.0,56.0,50.0,60.0,78.0,57.0,52.0,67.0,29.0,36.0,39.0,75.0,84.0,82.0,85.0,84.0,88.0,82.0,83.0,88.0,90.0,77.0,82.0,81.0,100.0,73.0,64.0,67.0,60.0,41.0,30.0,61.0,75.0,84.0,85.0,89.0,87.0,87.0,86.0,89.0,100.0,100.0,100.0,100.0,100.0,100.0,74.0,69.0,64.0,57.0,56.0,42.0,32.0,55.0,70.0,69.0,82.0,84.0,93.0,100.0,86.0,100.0,100.0,86.0,100.0,100.0,100.0,87.0,69.0,56.0,62.0,69.0,34.0,55.0,55.0,54.0,57.0,83.0,100.0,100.0,100.0,100.0,82.0,83.0,100.0,100.0,77.0,100.0,87.0,100.0,70.0,62.0,33.0,39.0,44.0,55.0,56.0,72.0,100.0,80.0,100.0,80.0,100.0,88.0,90.0,235.0,83.0,80.0,80.0,57.0,67.0,39.0,44.0,100.0,100.0,100.0,100.0,71.0,100.0,100.0,100.0,90.0,235.0,81.0,84.0,81.0,63.0,56.0,52.0,86.0,100.0,100.0,86.0,100.0,71.0,100.0,100.0,100.0,100.0,84.0,82.0,78.0,47.0,63.0,56.0,73.0,100.0,100.0,77.0,82.0,100.0,100.0,100.0,84.0,83.0,82.0,76.0,60.0,47.0,38.0,76.0,100.0,86.0,100.0,100.0,86.0,85.0,100.0,100.0,60.0,70.0,74.0,100.0,84.0,90.0,100.0,100.0,89.0,100.0,100.0,100.0,100.0,100.0,82.0,86.0,72.0,100.0,89.0,100.0,100.0,100.0,85.0,89.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,100.0,90.0,100.0,100.0,100.0,100.0,86.0,100.0,80.0,46.0,84.0,81.0,77.0,62.0,84.0,80.0,84.0
4,64.0,57.0,57.0,49.0,57.0,74.0,92.0,40.0,36.0,31.0,49.0,84.0,74.0,86.0,28.0,28.0,22.0,20.0,31.0,36.0,84.0,84.0,84.0,71.0,38.0,33.0,33.0,22.0,22.0,20.0,70.0,70.0,76.0,86.0,86.0,74.0,100.0,77.0,77.0,38.0,33.0,33.0,75.0,26.0,26.0,70.0,70.0,76.0,92.0,86.0,86.0,86.0,100.0,100.0,90.0,77.0,77.0,72.0,63.0,63.0,75.0,75.0,26.0,52.0,52.0,70.0,70.0,92.0,86.0,91.0,91.0,100.0,100.0,90.0,93.0,81.0,85.0,63.0,71.0,71.0,26.0,26.0,52.0,52.0,70.0,90.0,74.0,74.0,100.0,91.0,100.0,84.0,84.0,74.0,81.0,81.0,81.0,85.0,85.0,85.0,70.0,26.0,40.0,40.0,35.0,35.0,90.0,74.0,96.0,96.0,100.0,100.0,85.0,84.0,74.0,81.0,87.0,87.0,87.0,85.0,85.0,85.0,70.0,70.0,53.0,35.0,35.0,71.0,44.0,44.0,72.0,100.0,100.0,86.0,86.0,85.0,86.0,87.0,87.0,93.0,93.0,93.0,93.0,53.0,53.0,53.0,35.0,75.0,45.0,45.0,72.0,72.0,100.0,100.0,88.0,100.0,85.0,86.0,86.0,86.0,83.0,93.0,93.0,75.0,75.0,75.0,75.0,75.0,75.0,45.0,45.0,96.0,100.0,100.0,88.0,77.0,86.0,83.0,83.0,83.0,83.0,83.0,75.0,75.0,56.0,56.0,56.0,86.0,96.0,96.0,100.0,100.0,77.0,85.0,85.0,85.0,83.0,83.0,83.0,83.0,91.0,91.0,56.0,56.0,86.0,86.0,86.0,86.0,86.0,78.0,85.0,85.0,85.0,82.0,82.0,82.0,83.0,91.0,91.0,91.0,100.0,100.0,86.0,86.0,78.0,78.0,78.0,89.0,82.0,82.0,82.0,94.0,94.0,94.0,91.0,100.0,100.0,78.0,78.0,89.0,89.0,89.0,77.0,94.0,94.0,94.0,100.0,88.0,88.0,89.0,89.0,77.0,77.0,77.0,77.0,100.0,100.0,100.0,88.0,88.0,79.0,79.0,77.0,77.0,97.0,89.0,88.0,80.0,80.0,79.0,79.0,86.0,89.0,79.0,79.0,67.0,79.0,100.0,81.0,81.0,79.0,79.0,67.0,86.0,86.0,78.0,77.0,77.0,86.0,77.0,86.0
5,100.0,100.0,77.0,83.0,100.0,77.0,100.0,61.0,63.0,83.0,83.0,73.0,100.0,81.0,60.0,83.0,61.0,61.0,81.0,68.0,80.0,80.0,72.0,67.0,250.0,84.0,62.0,62.0,78.0,83.0,65.0,65.0,83.0,71.0,72.0,100.0,83.0,250.0,250.0,61.0,250.0,63.0,61.0,77.0,77.0,81.0,81.0,75.0,100.0,75.0,100.0,74.0,78.0,87.0,87.0,250.0,250.0,250.0,250.0,250.0,83.0,85.0,82.0,62.0,78.0,85.0,85.0,100.0,100.0,74.0,74.0,84.0,79.0,90.0,250.0,250.0,250.0,250.0,250.0,83.0,85.0,82.0,85.0,85.0,84.0,100.0,100.0,100.0,85.0,76.0,76.0,80.0,77.0,75.0,250.0,250.0,87.0,87.0,87.0,250.0,250.0,250.0,82.0,82.0,82.0,85.0,85.0,100.0,100.0,79.0,76.0,86.0,86.0,81.0,78.0,250.0,250.0,250.0,89.0,250.0,87.0,86.0,83.0,71.0,80.0,80.0,82.0,82.0,82.0,85.0,83.0,80.0,79.0,77.0,77.0,81.0,250.0,250.0,250.0,89.0,250.0,89.0,89.0,86.0,75.0,83.0,72.0,82.0,82.0,71.0,71.0,250.0,83.0,80.0,80.0,250.0,250.0,100.0,250.0,250.0,250.0,92.0,92.0,91.0,81.0,86.0,83.0,72.0,84.0,84.0,74.0,250.0,250.0,250.0,80.0,100.0,250.0,93.0,95.0,95.0,94.0,96.0,84.0,86.0,86.0,85.0,86.0,79.0,79.0,250.0,250.0,250.0,100.0,100.0,94.0,100.0,95.0,86.0,96.0,84.0,87.0,87.0,87.0,91.0,100.0,100.0,250.0,250.0,250.0,100.0,95.0,88.0,88.0,95.0,86.0,86.0,87.0,87.0,80.0,100.0,94.0,100.0,100.0,84.0,91.0,100.0,87.0,88.0,89.0,87.0,88.0,94.0,81.0,81.0,87.0,94.0,94.0,100.0,87.0,100.0,89.0,100.0,100.0,100.0,100.0,88.0,87.0,88.0,100.0,85.0,100.0,86.0,100.0,100.0,88.0,100.0,89.0,100.0,90.0,90.0,100.0,83.0,100.0,100.0,86.0,100.0,91.0,100.0,100.0,83.0,100.0,88.0,100.0,91.0,100.0,91.0,91.0,100.0,100.0,100.0,92.0,100.0,92.0,100.0,88.0,100.0,100.0,81.0,100.0,79.0,100.0
6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,250.0,250.0,100.0,54.0,100.0,100.0,61.0,61.0,100.0,100.0,250.0,100.0,65.0,60.0,54.0,54.0,100.0,100.0,100.0,100.0,100.0,100.0,250.0,250.0,76.0,100.0,55.0,38.0,60.0,60.0,100.0,100.0,100.0,100.0,100.0,100.0,250.0,250.0,250.0,76.0,100.0,100.0,100.0,100.0,100.0,55.0,38.0,43.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,250.0,250.0,250.0,250.0,100.0,100.0,100.0,100.0,100.0,72.0,81.0,100.0,59.0,59.0,61.0,83.0,100.0,100.0,100.0,100.0,250.0,250.0,250.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.0,100.0,100.0,58.0,58.0,100.0,100.0,100.0,100.0,250.0,250.0,250.0,250.0,250.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,84.0,70.0,79.0,79.0,100.0,100.0,100.0,100.0,250.0,250.0,250.0,250.0,250.0,100.0,100.0,100.0,100.0,235.0,100.0,100.0,100.0,84.0,70.0,60.0,83.0,83.0,100.0,100.0,100.0,250.0,250.0,250.0,250.0,250.0,100.0,100.0,67.0,100.0,100.0,100.0,100.0,100.0,235.0,100.0,76.0,76.0,100.0,100.0,100.0,100.0,250.0,250.0,250.0,250.0,250.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.0,80.0,235.0,235.0,100.0,87.0,87.0,250.0,250.0,250.0,100.0,100.0,100.0,96.0,100.0,100.0,100.0,81.0,100.0,100.0,100.0,82.0,76.0,235.0,250.0,250.0,250.0,100.0,100.0,100.0,96.0,96.0,250.0,250.0,81.0,100.0,100.0,79.0,77.0,82.0,250.0,250.0,100.0,100.0,97.0,97.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,77.0,82.0,100.0,100.0,97.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,100.0,100.0,100.0,100.0,250.0,250.0,250.0,250.0,250.0,100.0,100.0,100.0,100.0,250.0,250.0,250.0,250.0,250.0,100.0,100.0,86.0,86.0,250.0,250.0,250.0,100.0,93.0,93.0,93.0,250.0,250.0,100.0,100.0,100.0,93.0,250.0,250.0,250.0,100.0,250.0,250.0,250.0,250.0,250.0
7,82.0,71.0,71.0,50.0,71.0,71.0,100.0,26.0,26.0,50.0,50.0,89.0,89.0,94.0,26.0,23.0,23.0,24.0,24.0,67.0,67.0,83.0,83.0,32.0,32.0,22.0,22.0,23.0,23.0,54.0,54.0,57.0,67.0,83.0,83.0,80.0,84.0,66.0,30.0,26.0,26.0,52.0,52.0,35.0,54.0,57.0,57.0,57.0,78.0,78.0,84.0,84.0,100.0,100.0,84.0,79.0,42.0,42.0,36.0,26.0,52.0,52.0,35.0,35.0,34.0,34.0,76.0,76.0,83.0,83.0,84.0,100.0,100.0,84.0,76.0,42.0,36.0,36.0,51.0,51.0,53.0,60.0,38.0,38.0,67.0,67.0,76.0,83.0,83.0,82.0,82.0,86.0,86.0,87.0,78.0,100.0,81.0,81.0,80.0,68.0,68.0,53.0,61.0,61.0,55.0,55.0,67.0,69.0,83.0,83.0,84.0,84.0,100.0,86.0,86.0,100.0,100.0,92.0,92.0,87.0,71.0,71.0,60.0,54.0,46.0,37.0,34.0,36.0,36.0,68.0,68.0,100.0,85.0,85.0,100.0,100.0,91.0,88.0,88.0,100.0,70.0,100.0,78.0,75.0,53.0,61.0,61.0,34.0,35.0,47.0,75.0,75.0,100.0,90.0,100.0,100.0,100.0,80.0,88.0,100.0,235.0,100.0,82.0,82.0,66.0,65.0,65.0,28.0,28.0,43.0,55.0,55.0,73.0,73.0,87.0,100.0,100.0,100.0,76.0,78.0,77.0,235.0,61.0,61.0,50.0,235.0,54.0,54.0,100.0,100.0,100.0,100.0,100.0,100.0,94.0,94.0,82.0,78.0,83.0,77.0,44.0,44.0,59.0,59.0,59.0,235.0,235.0,84.0,84.0,100.0,100.0,100.0,83.0,83.0,77.0,83.0,81.0,81.0,42.0,42.0,83.0,83.0,85.0,83.0,100.0,100.0,100.0,91.0,83.0,77.0,77.0,77.0,53.0,53.0,94.0,94.0,235.0,100.0,100.0,91.0,92.0,92.0,77.0,77.0,100.0,100.0,89.0,86.0,86.0,100.0,100.0,100.0,77.0,100.0,100.0,89.0,88.0,100.0,86.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,89.0,90.0,90.0,100.0,100.0,76.0,100.0,100.0,79.0,90.0,100.0,100.0,76.0,79.0,82.0,82.0,68.0,83.0,83.0
8,70.0,75.0,70.0,92.0,75.0,250.0,73.0,100.0,100.0,92.0,72.0,250.0,67.0,66.0,73.0,59.0,100.0,100.0,88.0,100.0,68.0,67.0,66.0,250.0,75.0,70.0,73.0,59.0,100.0,100.0,72.0,100.0,68.0,68.0,250.0,250.0,100.0,250.0,75.0,75.0,70.0,250.0,250.0,250.0,83.0,72.0,100.0,70.0,100.0,78.0,78.0,250.0,83.0,83.0,64.0,250.0,250.0,250.0,100.0,100.0,250.0,100.0,250.0,83.0,100.0,67.0,67.0,100.0,80.0,69.0,69.0,80.0,71.0,77.0,250.0,250.0,250.0,100.0,250.0,250.0,100.0,250.0,250.0,250.0,250.0,59.0,100.0,80.0,75.0,73.0,73.0,71.0,77.0,77.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,100.0,100.0,250.0,250.0,250.0,59.0,250.0,250.0,250.0,250.0,250.0,250.0,74.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,100.0,250.0,250.0,67.0,250.0,250.0,250.0,250.0,86.0,100.0,250.0,250.0,250.0,250.0,250.0,250.0,100.0,250.0,250.0,97.0,250.0,100.0,250.0,90.0,72.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,97.0,250.0,250.0,250.0,77.0,72.0,72.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,77.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,56.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,56.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,235.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
9,100.0,63.0,100.0,82.0,82.0,82.0,100.0,34.0,34.0,64.0,64.0,64.0,100.0,100.0,31.0,34.0,34.0,64.0,64.0,64.0,64.0,100.0,100.0,36.0,36.0,36.0,31.0,31.0,31.0,54.0,54.0,54.0,250.0,250.0,250.0,250.0,250.0,61.0,34.0,34.0,68.0,68.0,68.0,43.0,43.0,54.0,54.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,89.0,61.0,34.0,34.0,34.0,68.0,68.0,68.0,43.0,43.0,43.0,43.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,80.0,56.0,56.0,56.0,71.0,71.0,71.0,66.0,66.0,66.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,56.0,56.0,71.0,71.0,71.0,66.0,66.0,66.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,64.0,64.0,61.0,61.0,61.0,61.0,42.0,42.0,42.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,100.0,250.0,250.0,250.0,64.0,64.0,61.0,61.0,61.0,42.0,42.0,59.0,250.0,250.0,250.0,100.0,100.0,100.0,250.0,100.0,100.0,100.0,250.0,250.0,250.0,250.0,60.0,60.0,60.0,57.0,57.0,57.0,59.0,75.0,250.0,250.0,94.0,94.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,73.0,73.0,73.0,57.0,100.0,75.0,75.0,250.0,92.0,92.0,92.0,250.0,250.0,250.0,250.0,250.0,65.0,65.0,77.0,77.0,77.0,100.0,100.0,100.0,250.0,100.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,75.0,55.0,55.0,82.0,100.0,100.0,100.0,250.0,250.0,235.0,235.0,235.0,250.0,250.0,250.0,75.0,235.0,82.0,82.0,82.0,100.0,100.0,250.0,250.0,250.0,74.0,74.0,74.0,235.0,250.0,250.0,250.0,100.0,87.0,87.0,87.0,100.0,100.0,250.0,94.0,92.0,92.0,100.0,100.0,92.0,92.0,92.0,250.0,96.0,100.0,100.0,100.0,100.0,250.0,250.0,75.0,75.0,100.0,100.0,95.0,95.0,100.0,89.0,89.0,89.0,100.0,100.0,100.0,91.0,90.0,90.0,100.0,77.0,90.0
